,belly_bottom_x,belly_bottom_y,belly_middle_x,belly_middle_y,belly_top_x,belly_top_y,nose_x,nose_y,pawbackL_x,pawbackL_y,pawbackR_x,pawbackR_y,pawfrontL_x,pawfrontL_y,pawfrontR_x,pawfrontR_y,tailbase_x,tailbase_y,tailmiddle_1_x,tailmiddle_1_y,tailmiddle_2_x,tailmiddle_2_y,tailtip_x,tailtip_y
32,1662.389746595036,712.2532992484212,1764.1096352982647,709.80914363182,1830.2401892084006,711.6107013954331,1931.733736355638,740.1183319803781,1612.9812212770828,769.7279360422608,1631.1373294206523,640.8729322937218,1820.570923582813,742.6788268624412,1835.3905327858256,676.9878241318879,1558.482962999356,701.715620390067,1472.723158893659,655.3598859982276,1440.9288715067676,548.8349541061395,1483.1986769680939,459.4485487258271
33,1663.0570435779075,707.9447798016183,1749.9133360641229,707.7663976188085,1841.365862700082,721.0381796746713,1934.6319019936902,739.7181058470564,1649.5609681786423,768.4253030580787,1630.685737407502,644.7896091673747,1823.863775547841,745.4543265666437,1867.1456837439675,683.279812547901,1571.266328146492,691.3184550682236,1481.479765678956,654.0326464880757,1448.797057576902,548.9516076824584,1497.774207904672,461.54611021131905
34,1672.453475445785,706.531563950738,1770.9175892411818,707.7291507748555,1844.491543600299,722.6530725909474,1936.2787968077337,737.7116891630706,1650.961443048373,767.0984131955072,1632.210327791677,644.05709516146,1825.3417164198831,746.7940571436175,1880.0995225446966,684.0149810701876,1568.629834743552,693.8406843857899,1483.129739437518,651.6108681616404,1464.2238369327774,569.5440108039717,1499.6014042435631,459.9802979117619
35,1680.604137782071,696.6925696874794,1770.8059078363406,707.8133465631774,1845.9596257589465,722.7715299675169,1941.0917258979082,743.1383539073511,1652.4544510808803,767.3946127417289,1632.829583336476,642.9396691522893,1823.0232286537926,746.9092523051613,1879.6845140370042,683.8156874512972,1575.8325754441323,691.0683980761398,1494.3478018003548,660.3235047488772,1464.6515304718068,555.4653939407583,1505.3628035410793,462.1560961431014
36,1678.3104242364018,710.591418718861,1768.114620348937,709.3704984982282,1846.7342199131676,723.430357450685,1942.0874828407989,729.5406509435472,1650.9563667265522,764.3178841301299,1633.597454601547,642.4607599145066,1822.692312868979,745.1516893048304,1882.658039500154,682.3914671557548,1584.128495427053,690.8647317701871,1494.026215220532,659.661962149956,1463.8634331946023,564.2833619391112,1497.590631223499,459.1871105965085
37,1680.967854415573,712.0919406871722,1768.2169565077743,709.1985141222103,1846.0161538226346,723.9328479844976,1942.020134765348,728.9135821856935,1651.6123023328566,763.607964549248,1633.6133887516244,641.515349200987,1821.5654893061542,745.2879690214031,1882.3424489268784,682.9261004692717,1587.4728044809522,691.6849431547546,1496.3068440269255,659.9053352317756,1464.7930541271587,556.1706204792814,1496.797272881603,460.5403388719685
38,1681.239059739272,712.2727461477944,1768.6536306116209,709.16637172997,1846.2416457474042,722.7541634402505,1941.8093049461002,729.2491246015234,1651.4942293981414,764.5416676483037,1633.3054930598753,640.7600422334477,1820.953076919354,745.6874018607796,1879.69132627537,682.5967090456184,1588.9884176325008,692.1776429363708,1499.235990749895,656.3430275758217,1467.0739333128367,565.120695903564,1499.2074916823435,467.65090372914176
39,1683.0779690396312,710.2687177923613,1768.8744130655552,709.037609358885,1846.4395367463464,724.1301583297782,1942.6452412501446,728.3327002303749,1652.2376206830093,765.1917572741506,1633.9040946772172,641.4709540323305,1819.601758609301,746.2509012478188,1879.0021785660094,683.2916034671407,1592.1130192902856,692.368890476298,1505.6966221292437,653.8245277549544,1470.5691414127969,568.9132068924433,1510.6292540605073,467.87438076323315
40,1685.6585241766968,711.0689922129945,1769.47373164642,708.6839372665481,1845.5684524137455,723.6767869266139,1943.4811775541893,727.4162758592263,1654.8430489988207,767.8522473346079,1634.6959725188858,641.9149904960352,1820.251857766764,747.3528042837877,1880.134645775552,682.8694150951694,1599.2679101925248,693.7792325061405,1507.3827341970427,655.7137560847065,1471.932717458806,568.7068116770167,1501.3753537195314,468.56920373638036
41,1695.3982452621167,708.5724916723425,1766.9637275953205,709.260161283753,1847.5342740217284,725.73440187347,1943.4987754362544,727.0084008363638,1655.3975982757188,767.9092434548975,1635.489745834805,641.3675180179723,1819.297086153692,747.4181637386246,1881.0001082369158,681.4252364476758,1601.763985142638,691.9733349124187,1517.4031997391885,660.8545041918285,1483.2235279064018,588.1852651170325,1503.94475368841,464.8959621712771
42,1695.9094167735243,708.7604567716191,1767.2868874342698,709.6273948511628,1847.7148404945099,725.8180578468439,1943.5163733183197,726.600525813501,1656.3540527227576,766.3659996202805,1635.7627114852858,640.9033273779735,1819.8270004647572,746.9383821642255,1882.820305269786,681.4290896229074,1609.0272925999368,691.5480810021857,1523.9386079651883,660.5475301221263,1488.7461097696964,587.4085445599724,1513.0142706480103,466.10258822227274
43,1695.417542755343,709.7062099258874,1766.9140003010614,709.2303186457782,1848.3439287926108,725.9239921520593,1942.620105603235,727.0809691765389,1676.1273194400308,764.9378205267997,1635.8706489022716,642.2949028953569,1820.4364694419721,745.7686485050476,1883.332582758647,681.3603137423434,1606.7942505037784,694.6952973106286,1525.338864847631,659.07034209278,1498.3147329194073,587.7592671982843,1522.6895022904257,467.44825684116813
44,1696.0398249370107,709.0167461233352,1769.7010239617566,710.0456857995052,1846.8690512115386,724.3379821252463,1941.7238378881507,727.5614125395766,1698.7182331185904,771.4289371920363,1636.0129723609655,642.4323565505815,1819.3764575493342,750.0994199361348,1881.8849403373165,682.2837416041248,1605.3566011683836,698.171784773876,1524.2157173114633,658.7432565453247,1488.0969006172118,570.2918368476462,1529.4812686042683,464.3201693240938
45,1697.152537290734,708.5045522492217,1770.5173558235354,709.3628105135622,1847.0904670142484,724.3261240972288,1941.9045085887683,726.7975704359196,1700.8670267313123,769.8525129489244,1636.3591786405364,642.960609415697,1821.6334867713936,745.0237103086104,1882.096621492628,682.2154016981369,1603.6081917743254,697.598954244525,1517.1375728132573,655.5261487697558,1483.4152707029086,569.4132427638534,1514.2799520358642,460.6763831653697
46,1697.9706340513703,708.5189028336279,1773.8594323094399,710.3625137005552,1846.931446256237,725.0276123823646,1943.3039076257508,727.9067060312818,1699.6924331877456,769.9694115575235,1636.9330410642094,643.982241596922,1820.8795606483216,745.724061309196,1880.6041948887105,682.0402807229461,1602.1539513047694,696.8711374655807,1513.3498388689477,657.7981782759807,1486.6990777840826,584.9992301003808,1508.9580598245188,473.51263537628944
47,1697.135881992522,708.3331752618863,1774.3055814597549,710.407724326102,1845.9208986472447,725.5494267569604,1943.2658776394112,727.6077295300408,1699.7588921106392,773.5209683253056,1636.8659064039707,642.1632490348725,1819.6228358800054,749.5910624213118,1879.7900597157534,681.5396066207131,1601.4954517711938,695.7733048172036,1514.3315662026714,658.2508384500904,1485.8897490254722,587.132961124714,1509.4743126172875,476.9842018908098
